stationCode,stationName,airTemperature.max,airTemperature.maxTime,airTemperature.min,airTemperature.minTime,evapotranspiration.shortCrop,evapotranspiration.tallCrop,panEvaporation,period.day,period.from,period.hour,period.minute,period.month,period.to,period.year,rainfall,relativeHumidity.max,relativeHumidity.maxTime,relativeHumidity.min,relativeHumidity.minTime,soilTemperature.max,soilTemperature.maxTime,soilTemperature.min,soilTemperature.minTime,solarExposure,avg.speed,height,max.direction.compassPoint,max.direction.degrees,max.speed,max.time
BG001,Kings Park,38.2,2021-12-29T04:17:00Z,19.1,2021-12-29T18:54:00Z,7.27,8.25,9.2,30,2021-12-29T16:00:00Z,,,12,2021-12-30T16:00:00Z,2021,0,90.6,2021-12-29T19:44:00Z,12.7,2021-12-29T02:35:00Z,42.2,2021-12-29T07:14:00Z,28,2021-12-29T22:58:00Z,32739.1,3.79,3,SSW,206,22.61,2021-12-29T07:26:00Z
BG001,Kings Park,32,2021-12-30T07:10:00Z,21,2021-12-30T21:38:00Z,6.92,7.72,8.7,31,2021-12-30T16:00:00Z,,,12,2021-12-31T16:00:00Z,2021,0,84.8,2021-12-30T15:13:00Z,41.5,2021-12-30T08:51:00Z,40.1,2021-12-30T07:45:00Z,27.7,2021-12-30T23:03:00Z,33033,6.75,3,SSW,196,22.61,2021-12-30T05:44:00Z
BG001,Kings Park,30.2,2021-12-31T04:33:00Z,18,2021-12-31T21:46:00Z,6.69,7.87,9.2,1,2021-12-31T16:00:00Z,,,1,2022-01-01T16:00:00Z,2022,0,70.7,2021-12-31T11:55:00Z,33.1,2021-12-31T04:15:00Z,38.3,2021-12-31T07:29:00Z,26.7,2021-12-31T23:10:00Z,31049.8,7.55,3,S,184,30.96,2021-12-31T08:20:00Z
BG001,Kings Park,26.6,2022-01-01T04:57:00Z,17.5,2022-01-01T21:23:00Z,7.01,8.2,9.3,2,2022-01-01T16:00:00Z,,,1,2022-01-02T16:00:00Z,2022,0,73.1,2022-01-01T12:35:00Z,32.9,2022-01-01T04:50:00Z,37.3,2022-01-01T07:28:00Z,25,2022-01-01T23:04:00Z,33985.9,6.73,3,S,191,32.65,2022-01-01T07:19:00Z
BG001,Kings Park,31.1,2022-01-02T06:46:00Z,18,2022-01-02T18:36:00Z,7.19,8.27,9.3,3,2022-01-02T16:00:00Z,,,1,2022-01-03T16:00:00Z,2022,0,80.1,2022-01-02T19:07:00Z,30,2022-01-02T04:13:00Z,38,2022-01-02T07:54:00Z,25.7,2022-01-02T23:09:00Z,33671.9,4.6,3,S,184,24.3,2022-01-02T08:09:00Z
BG001,Kings Park,30.9,2022-01-03T06:07:00Z,19.3,2022-01-03T21:17:00Z,7.13,8.13,8.9,4,2022-01-03T16:00:00Z,,,1,2022-01-04T16:00:00Z,2022,0,80.4,2022-01-03T13:47:00Z,38.3,2022-01-03T02:41:00Z,38.3,2022-01-03T08:03:00Z,26.2,2022-01-03T22:54:00Z,33123.2,6.52,3,S,184,26.78,2022-01-03T07:34:00Z
BG001,Kings Park,35.6,2022-01-04T09:02:00Z,19.4,2022-01-04T21:46:00Z,7.59,8.84,9.8,5,2022-01-04T16:00:00Z,,,1,2022-01-05T16:00:00Z,2022,0,66.2,2022-01-04T21:54:00Z,23.5,2022-01-04T10:26:00Z,39.3,2022-01-04T08:41:00Z,26.9,2022-01-04T22:47:00Z,32779.5,6.22,3,ESE,106,26.78,2022-01-04T13:47:00Z
BG001,Kings Park,33.5,2022-01-05T05:59:00Z,18.7,2022-01-05T21:37:00Z,7.03,7.94,8.8,6,2022-01-05T16:00:00Z,,,1,2022-01-06T16:00:00Z,2022,0,85.5,2022-01-05T18:19:00Z,30.6,2022-01-05T05:43:00Z,39.7,2022-01-05T08:16:00Z,26.8,2022-01-05T22:52:00Z,32807.5,4.82,3,SSW,201,27.61,2022-01-05T09:10:00Z
BG001,Kings Park,33.4,2022-01-06T04:54:00Z,21.2,2022-01-06T21:42:00Z,7.7,8.95,10,7,2022-01-06T16:00:00Z,,,1,2022-01-07T16:00:00Z,2022,0,75.1,2022-01-06T13:24:00Z,31.5,2022-01-06T04:47:00Z,39.8,2022-01-06T07:43:00Z,27.6,2022-01-06T23:04:00Z,32966.5,5.94,3,SSW,194,29.3,2022-01-06T09:12:00Z
BG001,Kings Park,36.9,2022-01-07T06:14:00Z,21,2022-01-07T20:36:00Z,7.66,8.99,10.1,8,2022-01-07T16:00:00Z,,,1,2022-01-08T16:00:00Z,2022,0,73.8,2022-01-07T15:17:00Z,21.9,2022-01-07T05:37:00Z,40.9,2022-01-07T08:26:00Z,28.2,2022-01-07T22:42:00Z,32608,8.64,3,SE,139,26.78,2022-01-07T02:24:00Z
BG001,Kings Park,31.4,2022-01-08T03:28:00Z,16.2,2022-01-08T21:31:00Z,7.13,8.38,9.5,9,2022-01-08T16:00:00Z,,,1,2022-01-09T16:00:00Z,2022,0,70.2,2022-01-08T13:31:00Z,25.3,2022-01-08T03:28:00Z,38.4,2022-01-08T07:04:00Z,25.1,2022-01-08T23:00:00Z,32694.6,9.5,3,SSW,193,40.21,2022-01-08T12:50:00Z
BG001,Kings Park,24.4,2022-01-09T04:37:00Z,16.6,2022-01-09T21:27:00Z,6.68,8,9,10,2022-01-09T16:00:00Z,,,1,2022-01-10T16:00:00Z,2022,0,63.4,2022-01-09T10:55:00Z,37.2,2022-01-09T16:26:00Z,35.3,2022-01-09T07:35:00Z,24,2022-01-09T23:02:00Z,32512,5.51,3,S,191,32.65,2022-01-09T04:40:00Z
BG001,Kings Park,28.6,2022-01-10T07:18:00Z,18,2022-01-10T21:02:00Z,6.08,7.12,8.2,11,2022-01-10T16:00:00Z,,,1,2022-01-11T16:00:00Z,2022,0,72.7,2022-01-10T13:46:00Z,22.7,2022-01-10T06:45:00Z,35.6,2022-01-10T07:50:00Z,24.4,2022-01-10T22:57:00Z,29351,5.61,3,ESE,108,25.13,2022-01-10T23:21:00Z
BG001,Kings Park,34.2,2022-01-11T07:02:00Z,19.7,2022-01-11T17:55:00Z,7.12,8.35,9.3,12,2022-01-11T16:00:00Z,,,1,2022-01-12T16:00:00Z,2022,0,75,2022-01-11T17:31:00Z,21.3,2022-01-11T07:56:00Z,37.8,2022-01-11T08:10:00Z,26.2,2022-01-11T01:01:00Z,31603.7,3.94,3,SSW,201,22.61,2022-01-11T07:08:00Z
BG001,Kings Park,33.7,2022-01-12T04:37:00Z,20.8,2022-01-12T21:24:00Z,6.29,7.06,7.7,13,2022-01-12T16:00:00Z,,,1,2022-01-13T16:00:00Z,2022,0,81.6,2022-01-12T17:35:00Z,24.6,2022-01-12T04:14:00Z,39.6,2022-01-12T07:48:00Z,27.9,2022-01-12T23:41:00Z,29197.1,5.84,3,S,188,20.09,2022-01-12T05:28:00Z
BG001,Kings Park,27.1,2022-01-13T07:02:00Z,18.8,2022-01-13T21:31:00Z,5.61,6.28,6.6,14,2022-01-13T16:00:00Z,,,1,2022-01-14T16:00:00Z,2022,0,82.6,2022-01-13T12:47:00Z,53.5,2022-01-13T07:03:00Z,37,2022-01-13T08:00:00Z,25.6,2022-01-13T23:19:00Z,28346.4,6.69,3,SW,231,24.3,2022-01-13T08:45:00Z
BG001,Kings Park,28.7,2022-01-14T04:13:00Z,18,2022-01-14T20:29:00Z,6.72,7.62,8.3,15,2022-01-14T16:00:00Z,,,1,2022-01-15T16:00:00Z,2022,0,79.7,2022-01-14T14:39:00Z,43.1,2022-01-14T01:54:00Z,37.5,2022-01-14T07:11:00Z,25.1,2022-01-14T22:38:00Z,32700.2,7.51,3,S,191,30.13,2022-01-14T05:43:00Z
BG001,Kings Park,27.4,2022-01-15T05:10:00Z,17.2,2022-01-15T21:08:00Z,6.74,7.87,8.8,16,2022-01-15T16:00:00Z,,,1,2022-01-16T16:00:00Z,2022,0,76.9,2022-01-15T15:47:00Z,41.4,2022-01-15T05:10:00Z,36.4,2022-01-15T07:29:00Z,24.6,2022-01-15T22:44:00Z,32637.4,8.41,3,S,182,35.17,2022-01-15T06:12:00Z
BG001,Kings Park,27.5,2022-01-16T06:10:00Z,16.8,2022-01-16T20:50:00Z,6.93,8.15,9.1,17,2022-01-16T16:00:00Z,,,1,2022-01-17T16:00:00Z,2022,0,70.1,2022-01-16T12:05:00Z,37.3,2022-01-16T15:27:00Z,36,2022-01-16T07:19:00Z,24.2,2022-01-16T22:48:00Z,32638.9,6.22,3,SSW,197,32.65,2022-01-16T07:58:00Z
BG001,Kings Park,32.5,2022-01-18T00:56:00Z,21.4,2022-01-17T15:08:00Z,7.02,8.2,9,18,2022-01-17T16:00:00Z,,,1,2022-01-18T16:00:00Z,2022,0,81.6,2022-01-17T14:31:00Z,33.3,2022-01-18T00:57:00Z,37.3,2022-01-17T08:11:00Z,26,2022-01-17T01:01:00Z,31499,5.48,3,SSW,201,26.78,2022-01-17T05:56:00Z
BG001,Kings Park,40.3,2022-01-18T06:38:00Z,26.3,2022-01-18T16:13:00Z,8.14,9.96,10.6,19,2022-01-18T16:00:00Z,,,1,2022-01-19T16:00:00Z,2022,0,55.3,2022-01-18T16:05:00Z,16.6,2022-01-18T05:47:00Z,40.9,2022-01-18T08:25:00Z,28.7,2022-01-18T01:01:00Z,30637.1,5.22,3,ESE,102,26.78,2022-01-18T05:56:00Z
BG001,Kings Park,41.2,2022-01-19T06:51:00Z,23.3,2022-01-19T19:24:00Z,7.7,9.22,10.6,20,2022-01-19T16:00:00Z,,,1,2022-01-20T16:00:00Z,2022,0,56.3,2022-01-19T17:22:00Z,12.6,2022-01-19T06:30:00Z,42.9,2022-01-19T08:18:00Z,29.1,2022-01-19T22:44:00Z,31208,3.71,3,NNE,20,24.3,2022-01-19T03:10:00Z
BG001,Kings Park,39.4,2022-01-20T05:48:00Z,23.6,2022-01-20T17:49:00Z,7.91,9.72,10.7,21,2022-01-20T16:00:00Z,,,1,2022-01-21T16:00:00Z,2022,0,58.1,2022-01-20T17:34:00Z,10.9,2022-01-20T05:46:00Z,42.3,2022-01-20T07:35:00Z,29.3,2022-01-20T22:43:00Z,31401.4,4.41,3,SSW,196,29.3,2022-01-20T07:14:00Z
BG001,Kings Park,40.7,2022-01-21T06:27:00Z,23.3,2022-01-21T19:12:00Z,7.69,9.19,10.7,22,2022-01-21T16:00:00Z,,,1,2022-01-22T16:00:00Z,2022,0,48.6,2022-01-21T19:07:00Z,10.7,2022-01-21T03:37:00Z,43.1,2022-01-21T07:49:00Z,29.5,2022-01-21T23:08:00Z,31275.2,4.36,3,SW,214,24.3,2022-01-21T07:59:00Z
BG001,Kings Park,40.6,2022-01-22T06:04:00Z,21.1,2022-01-22T19:10:00Z,7.59,9.02,10.5,23,2022-01-22T16:00:00Z,,,1,2022-01-23T16:00:00Z,2022,0,57.5,2022-01-22T20:07:00Z,13.8,2022-01-22T04:03:00Z,43.4,2022-01-22T08:09:00Z,29.3,2022-01-22T22:49:00Z,31134.2,5.86,3,S,188,25.13,2022-01-22T09:07:00Z
BG001,Kings Park,39.4,2022-01-23T03:53:00Z,20.1,2022-01-23T21:49:00Z,7.73,9.15,10.1,24,2022-01-23T16:00:00Z,,,1,2022-01-24T16:00:00Z,2022,0,79.8,2022-01-23T12:16:00Z,14.3,2022-01-23T04:02:00Z,42.5,2022-01-23T07:44:00Z,27.8,2022-01-23T23:18:00Z,31267,8.57,3,S,191,34.34,2022-01-23T10:57:00Z
BG001,Kings Park,30.6,2022-01-24T06:53:00Z,16.2,2022-01-24T21:57:00Z,7.11,8.66,8.9,25,2022-01-24T16:00:00Z,,,1,2022-01-25T16:00:00Z,2022,0,72.3,2022-01-24T21:55:00Z,25.3,2022-01-24T08:57:00Z,39.2,2022-01-24T07:35:00Z,25.9,2022-01-24T22:56:00Z,29659.2,5.73,3,SE,140,31.82,2022-01-24T07:21:00Z
BG001,Kings Park,29.1,2022-01-25T07:51:00Z,17.7,2022-01-25T21:51:00Z,5.57,6.74,7.5,26,2022-01-25T16:00:00Z,,,1,2022-01-26T16:00:00Z,2022,0,67.9,2022-01-25T22:02:00Z,34.4,2022-01-25T07:51:00Z,36,2022-01-25T08:28:00Z,25.3,2022-01-25T23:28:00Z,25094.9,7.1,3,SSE,155,30.96,2022-01-25T04:59:00Z
BG001,Kings Park,27.3,2022-01-26T05:44:00Z,18.7,2022-01-26T21:51:00Z,6.54,7.54,8.5,27,2022-01-26T16:00:00Z,,,1,2022-01-27T16:00:00Z,2022,0,72.4,2022-01-26T14:59:00Z,37.4,2022-01-26T03:53:00Z,37.8,2022-01-26T07:08:00Z,25.8,2022-01-26T22:54:00Z,31479,6.79,3,SSW,192,30.96,2022-01-26T09:03:00Z
BG001,Kings Park,29,2022-01-27T05:16:00Z,17,2022-01-27T21:27:00Z,6.73,7.84,8.8,28,2022-01-27T16:00:00Z,,,1,2022-01-28T16:00:00Z,2022,0,67.2,2022-01-27T21:56:00Z,38.3,2022-01-27T15:23:00Z,37.5,2022-01-27T06:58:00Z,24.8,2022-01-27T23:13:00Z,31424.3,6.22,3,WSW,258,31.82,2022-01-27T05:45:00Z
BG001,Kings Park,33.4,2022-01-28T06:29:00Z,22.7,2022-01-28T21:52:00Z,7.17,8.48,9.5,29,2022-01-28T16:00:00Z,,,1,2022-01-29T16:00:00Z,2022,0,68.1,2022-01-28T11:54:00Z,25,2022-01-28T15:39:00Z,39,2022-01-28T08:15:00Z,26.4,2022-01-28T01:01:00Z,31090.6,5.21,3,E,95,33.48,2022-01-28T17:38:00Z
BG001,Kings Park,40.1,2022-01-29T04:55:00Z,19.6,2022-01-29T21:33:00Z,7.08,8.19,8.9,30,2022-01-29T16:00:00Z,,,1,2022-01-30T16:00:00Z,2022,0,82.6,2022-01-29T18:40:00Z,18.9,2022-01-29T04:56:00Z,41.5,2022-01-29T07:26:00Z,27.9,2022-01-29T22:59:00Z,30216.5,4.88,3,NE,36,24.3,2022-01-29T02:45:00Z
